R;factor;vraag;s;nooit;incidenteel;soms;meestal;altijd;Gevoel;Houding;Organisatie Kenmerk;Gedrag;Effect;Transformatie;Vitaliteit;Veranderen;Prestatie;Waarden
1;open staan;Ik neem bewust de tijd om echt naar anderen te luisteren.;o;0;20;40;80;100;;1;;;;1;;;;
2;afsluiten;Ik heb in de gaten wat er allemaal in mijn bedrijf gebeurt.;b;0;20;60;80;100;;1;;;; ;;;;
3;verlangen;Ik zoek de stilte op, om te voelen wat ik nu echt wil.;o;0;20;40;80;100;1;;;;;;;;;1
4;verwachting;Ik ga ervan uit dat anderen gewoon doen wat ze moeten doen.;b;100;80;60;20;0;1;;;;;1;;;;
5;missie leidend;Ik kan de missie van mijn bedrijf in een zin vertellen.;o;0;20;40;80;100;;;1;;;;;1;;
6;operatie leidend;Ik weet wat mijn organisatie moregn weer gaat doen.;b;0;20;60;80;100;;;1;;;;;;;
7;waarden bepalen;Ik weet wat belangrijk en waardevol voor me is.;o;0;20;40;80;100;;;;1;;;;;;1
8;ongerust blijven;Ik blijf me zorgen maken om wat er morgen weer gaat gebeuren.;b;100;80;60;20;0;;;;1;;;;;;
9;intenties uitspreken;Ik spreek mijn intenties uit en deel deze met anderen.;o;0;20;40;80;100;;;;;1;;;;;1
10;afwachten;Ik laat anderen bepalen wat voor mij belangrijk is.;b;100;80;60;20;0;;;;;1;;;;;
11;bereid zijn om;Ik veroorzaak zelf de omstandigheden waar ik mee te maken heb.;o;0;20;40;80;100;;1;;;;;;1;;
12;beperktheid;Ik heb meer last dan plezier van wat anderen doen.;b;100;80;60;20;0;;1;;;;;;;;
13;vertrouwen;Ik geloof in mezelf en daarmee geloof ik ook in anderen.;o;0;20;40;80;100;1;;;;;1;;;;1
14;wantrouwen;Ik betwijfel of anderen zich aan de gemaakte afspraken houden.;b;100;80;60;20;0;1;;;;;;;;;
15;leiderschap tonen;Ik heb waardering voor de manier waarop leiding wordt gegeven.;o;0;20;40;80;100;;;1;;;;;1;;
16;vaag blijven;Ik weet wat ik aan mijn leidinggevende heb.;b;0;20;60;80;100;;;1;;;;;;;
17;dialoog aangaan;Ik voer open en eerlijke discussies over vandaag en over de toekomst.;o;0;20;40;80;100;;;;1;;;;1;;
18;angst denken en doen;Ik denk dat ik kan waarmaken wat er van mij gevraagd wordt.;b;0;20;60;80;100;;;;1;;;1;;;
19;perspectief zien;Ik heb een beeld van wat de toekomst voor mij kan brengen.;o;0;20;40;80;100;;;;;1;1;;;;
20;(ver)oordelen;Ik verwijt mijn collega's (sommige) dat ze mijn toekomst in de weg staan.;b;100;80;60;20;0;;;;;1;;;;;
21;duidelijk zijn;Ik zeg wat ik doe en doe wat ik zeg.;o;0;20;40;80;100;;1;;;;1;;1;;
22;verwarring zaaien;Ik weet dat ik anderen op het verkeerde been zet.;b;100;80;60;20;0;;1;;;;;;;;
23;verwondering;Ik voel passie voor mijn werk en de mensen waarmee ik werk.;o;0;20;40;80;100;1;;;;;;;;;1
24;frustratie;Ik baal van de gang van zake, elke keer weer hetzelfde liedje.;b;100;80;60;20;0;1;;;;;;;;;
25;aanleiding benoemen;Ik kan de noodzaak om te veranderen in __n zin vertellen.;o;0;20;40;80;100;;;1;;;;;1;;
26;afgeleid zijn;Ik vraag me af waarom we steeds moeten veranderen.;b;100;80;60;20;0;;;1;;;;;;;
27;keuzes maken;Ik sta voor beslissingen die ik genomen heb.;o;0;20;40;80;100;;;;1;;;;1;;
28;blijven vragen;Ik blijf vragen stellen, tegen beter weten in.;b;100;80;60;20;0;;;;1;;;;;;
29;ambities delen;Ik zie de ambities van mijn bedrijf in mijn persoonlijke ambities terug.;o;0;20;40;80;100;;;;;1;;;;;
30;terughoudend zijn;Ik zoek uitdagingen en nieuwe wegen in mijn bedrijf.;b;0;20;60;80;100;;;;;1;;;;;
31;accepteren;Ik accepteer dat mensen en situaties zijn zoals ze zijn, het is nu niet anders.;o;0;20;40;80;100;;1;;;;;;;;
32;ontkennen;Ik begrijp niet waarom anderen mij niet snappen.;b;100;80;60;20;0;;1;;;;;;;;
33;verademing;Ik voel me rustig en op mijn gemak bij het werk wat ik doem.;o;0;20;40;80;100;1;;;;;;;;;
34;teleurstelling;Ik voel me serieus genomen als het om mijn inbreng gaat.;b;0;20;60;80;100;1;;;;;;;;;
35;focus aanbrengen;Ik weet waar ik mijn pijlen op richt om de ambities van mijn bedrijf waar te maken;o;0;20;40;80;100;;;1;;;;;1;;
36;verdeeld zijn;Ik zie dat we elke dag weer iets anders belangrijk vinden.;b;100;80;60;20;0;;;1;;;;;;;
37;grenzen aangeven;Ik geef aan ' tot hier en niet verder' .;o;0;20;40;80;100;;;;1;;;;;;
38;pijn vermijden;Ik steek mijn nek uit en val op.;b;0;20;60;80;100;;;;1;;;1;;;
39;prioriteiten stellen;Ik maak keuze in wat wij samen belangrijk en urgent vinden.;o;0;20;40;80;100;;;;;1;;;;1;
40;uitsloven;Ik werk keihard om in de gunst te vallen.;b;100;80;60;20;0;;;;;1;;1;;;
41;loslaten;Ik ben in staat om mensen en situaties die me raken te laten voor wat ze zijn.;o;0;20;40;80;100;;1;;;;1;;;;
42;vasthouden;Ik houd me strict aan wat me gevraagd wordt.;b;100;80;60;20;0;;1;;;;;;;;
43;veiligheid;Ik voel me geruggesteund om voor mijzelf en anderen op te komen.;o;0;20;40;80;100;1;;;;;1;;;;
44;onzekerheid;Ik heb het gevoel dat ik bij alles wat ik doe gecontroleerd wordt.;b;100;80;60;20;0;1;;;;;;;;;
