R;factor;vraag;s;nooit;incidenteel;soms;meestal;altijd;Gevoel;Houding;Beeld;Gedrag;Uiting;Transformatie;Vitaliteit;Veranderen;Prestatie;Waarden
1;open staan;Ik sta open om met aandacht naar anderen te luisteren;o;0;20;40;80;100;;1;;;;1;;;;
2;pre-occupatie;Ik heb in de gaten wat er om me heen gebeurt;b;0;20;40;80;100;;1;;;; ;;;;
3;verlangen;ik neem de tijd om te voelen waar ik echt naar verlang;o;0;20;40;80;100;1;;;;;;;;;1
4;verwachten;Ik reken erop dat wat ik hoop ook werkelijk gebeurt;b;100;80;60;20;0;1;;;;;1;;;;
5;leidende missie;Ik zie dat de missie in onze organisatie leidend is;o;0;20;40;80;100;;;1;;;;;1;;
6;angst leidend;Ik zie binnen onze organisatie een positieve sfeer;b;0;20;40;80;100;;;1;;;;;;;
7;waarden gedreven;Ik laat in mijn gedrag zien wat waardevol, betekenisvol, voor me is;o;0;20;40;80;100;;;;1;;;;;;1
8;ongerust blijven;Ik blijf me zorgen maken om wat er morgen weer gaat gebeuren;b;100;80;60;20;0;;;;1;;;;;;
9;intenties uitspreken;Ik deel mijn intenties met anderen in mijn werkomgeving;o;0;20;40;80;100;;;;;1;;;;;1
10;afwachten;Ik kijk de kat uit de boom;b;100;80;60;20;0;;;;;1;;;;;
11;introspectief;"Ik kijk naar mijn eigen rol; wat er ook speelt";o;0;20;40;80;100;;1;;;;;;1;;
12;beperkt zijn;Ik heb een eenzijdige, beperkte kijk op wat er binnen de organisatie speelt;b;100;80;60;20;0;;1;;;;;;;;
13;vertrouwen;Ik geloof in mezelf omdat ik mezelf de moeite waard vind;o;0;20;40;80;100;1;;;;; ;;;;1
14;wantrouwen;ik betwijfel of anderen zich aan de gemaakte afspraken houden;b;100;80;60;20;0;1;;;;;1;;;;
15;leiderschap tonen;Ik heb waardering voor de manier waarop leiding wordt gegeven;o;0;20;40;80;100;;;1;;;;;1;;
16;vaag blijven;Ik weet precies wat ik aan mijn leidinggevende heb;b;0;20;40;80;100;;;1;;;;;;;
17;dialoog aangaan;Ik voer zowel open als eerlijke gesprekken in dialoog;o;0;20;40;80;100;;;;1;;;;1;;
